"","V1","V2","V3","V4","V5","V6","V7"
"k=5",1814.60426789915,351.127570173512,351.127570173512,NA,NA,NA,NA
"k=20",1875.13522290449,782.250406010557,782.250406010557,NA,NA,NA,NA
"k=50",1790.13366516724,1047.92674546215,1047.92674546215,NA,NA,NA,NA
