"","LS","ridge","LASSO","AdaLASSO1","AdaLASSO2","AdaSLOPE","AdaBayesSLOPE"
"k=5",1775.72462243333,220.395945220455,102.926718549117,186.788211531499,128.152403374384,155.715006370866,NA
"k=20",1810.735459494,531.700266942254,286.4849483544,340.376750192648,305.291804663488,749.66662505609,NA
"k=50",1806.35472881769,876.278396767407,532.504660956632,592.479876053882,557.305147107637,2848.62586029472,NA
