"","ridge_knockoffs","LASSO_knockoffs","AdaLASSO1","AdaLASSO2","AdaSLOPE","AdaBayesSLOPE"
"k=5",0.004,0.22,0.936,0.954,0.886,NA
"k=20",0,0.6335,0.948,0.953,0.8995,NA
"k=50",0.0588,0.564,0.93,0.94,0.8956,NA
