"","LS","ridge","LASSO","AdaLASSO1","AdaLASSO2","AdaSLOPE","AdaBayesSLOPE"
"k=5",34424.8931836998,448.494311915494,195.357769796402,361.57773245943,248.142944996498,142.848875137257,NA
"k=20",35033.1296065628,1402.10545483347,639.033086180893,767.786306435966,683.669470211733,534.65802655817,NA
"k=50",35401.3513028158,3002.31066882033,1499.67621488891,1624.00881649458,1538.13744147117,1454.31120690666,NA
