"","V1","V2","V3","V4","V5","V6"
"k=5",0.0571428571428571,0.791566328154652,NA,NA,NA,NA
"k=20",0,0.743513907484832,NA,NA,NA,NA
"k=50",0,0.656473879777662,NA,NA,NA,NA
