"","ridge_sure","ridge_cv","ols","mbic2"
"k=20",499.787376101954,466.978510531905,952.381992804841,156.610072026426
"k=100",2438.75309761146,2291.23531779133,945.623943130831,1887.65411638218
"k=200",4735.23108959726,4559.97791480826,945.702588877354,4485.69527548382
