"","ridge_sure","ridge_cv","ols","mbic2"
"k=20",244.83750549039,225.963042576906,953.240883070718,198.37988622641
"k=100",1213.08899446257,1121.40628643423,948.351529839217,1104.20304059988
"k=200",2384.51823298622,2220.88162661217,942.306723630588,2292.88211116391
