"","ridge_sure","ridge_cv","ols","mbic2"
"k=20",244.998567551887,242.582281227481,38953091.4833661,3193.04014446868
"k=100",1224.83360695783,1182.0755758005,37801368.2110703,42884.9622690434
"k=200",2448.56446625308,2335.95584031858,39006698.9529948,87663.6293299713
