"","ridge_sure","ridge_cv","ols","mbic2"
"k=20",499.348027140334,482.260279528012,19076.4474283294,168.714358309962
"k=100",2475.88018201399,2398.39942524632,19364.2658581801,2254.95441560348
"k=200",4876.4382707938,4783.55034862094,19202.7525613571,5017.49902691732
