"","ridge_sure","ridge_cv","ols","mbic2"
"k=20",244.859389137978,235.021223619646,19503.8920018911,208.563121561765
"k=100",1220.32777781118,1172.42809011936,19309.6045894617,1208.81283089358
"k=200",2427.15282432863,2340.94208522752,18458.2609391239,2476.78945328043
